,text,embeddings,distances
66,"April 14 – Russian invasion of Ukraine: The Russian flagship Moskva becomes the largest warship to be sunk in action since World War II. Ukraine claims to have struck it with Neptune anti-ship missiles, while Russia claims it sank during stormy weather after an onboard fire.","[-0.01056795 -0.01319337  0.0018779  ...  0.00661989  0.003779
  0.00914917]",0.1497939022247856
125,September 2 – Russian invasion of Ukraine: The G7 economies agree to impose a price cap on Russian petroleum exports.,"[-0.01077208 -0.01848889  0.00490742 ...  0.00780205  0.0114146
  0.00036142]",0.154557900261727
36,March 2 – The International Criminal Court begins an investigation into possible war crimes committed by Russia in Ukraine.,"[ 0.00361316 -0.00585261  0.00990983 ...  0.0196152   0.01231221
 -0.00109257]",0.1559423687288078
30,February 28 – Russian invasion of Ukraine: Football governing bodies FIFA and UEFA suspend Russian clubs and national teams from all competitions.,"[ 0.00659307 -0.018183    0.01381706 ...  0.00286278  0.01861202
 -0.00314985]",0.1571243667549906
95,June 26 – G7 leaders gather for a summit in Germany to discuss the situation in Ukraine. A ban on imports of Russian gold is announced.,"[ 0.00035516 -0.01176092  0.00376388 ...  0.00549737  0.01575785
 -0.02304937]",0.164146542141782
32,March 1 – Russian invasion of Ukraine: World Athletics bans both Russia and Belarus from competing in all of its events.,"[-0.00210068 -0.00790957  0.00384911 ...  0.00325029  0.01034328
 -0.00531254]",0.1703754205790802
7,"January 6 – The CSTO deploys a ""peacekeeping"" mission in Kazakhstan, including Russian paratroopers, following a request by Kazakh president Tokayev.","[ 0.01266116  0.00304673  0.0059473  ...  0.02598493  0.02608887
 -0.01572088]",0.1779447421747433
73,April 27 – The European Union accuses Russia of blackmail after gas supplies to Poland and Bulgaria are halted by energy giant Gazprom.,"[ 0.0018431  -0.0255543   0.01328824 ...  0.01438707  0.01736415
 -0.00024097]",0.1823343228566927
27,"February 27 – In a constitutional referendum, Belarus votes to revoke its non-nuclear status and to allow the country to host Russian forces permanently.","[-0.00984346 -0.00278844  0.00529288 ...  0.01909309  0.01255445
 -0.01776342]",0.1846635713515267
2," – 2022 was also dominated by wars and armed conflicts. While escalations into the internal conflict in Myanmar and the Tigray War dominated the heightening of tensions within their regions and each caused over 10,000 deaths, 2022 was most notable for the Russian invasion of Ukraine, the largest armed conflict in Europe since World War II. The invasion caused the displacement of 15.7 million Ukrainians (8 million internally displaced persons and 7.7 million refugees), and led to international condemnations and sanctions and nuclear threats, the withdrawal of hundreds of companies from Russia, and the exclusion of Russia from major sporting events.","[-0.00966143 -0.01530445  0.01072903 ... -0.00181359  0.00815618
 -0.00844795]",0.1864790611907818
173,"December 2 – The G7 and Australia join the EU in imposing a cap of $60 a barrel on Russian crude oil, designed to ""prevent Russia from profiting from its war of aggression against Ukraine.""","[-0.00982625 -0.01770555 -0.0080949  ...  0.01811062 -0.00264277
 -0.00122338]",0.186654296758755
31,"February 28 – 2022 Russian financial crisis: In an unprecedented move, Switzerland, Monaco, Singapore and South Korea impose unilateral sanctions over Russia including the introduction of export controls and asset freezes.","[-0.011818   -0.0280842   0.00395469 ...  0.01921412  0.03058467
  0.00459625]",0.1951108701436625
43,"March 8 – The US and UK announce a ban on Russian oil, while the EU announces a two-thirds reduction in its demand for Russian gas.","[-0.00494435 -0.0237507   0.01298329 ...  0.02684529  0.01549845
 -0.00161336]",0.1964454549025348
18,"February 4 – China and Russia issue a joint statement opposing further NATO expansion, expressing ""serious concerns"" about the AUKUS security pact, and pledging to cooperate with each other on a range of issues.","[-0.01090216 -0.03539326 -0.00199571 ...  0.01058568  0.00595485
 -0.0044177 ]",0.2033845828179591
97,"June 28 – June 30 – A NATO summit is held in Madrid, Spain along with the presence of guest countries from the European Union and the Indo-Pacific primarily searching for a consensual defensive reinforcement after the Russian invasion of Ukraine and the sustained threatening over the territorial integrity of other countries.","[-0.01418719 -0.02110027  0.02425594 ... -0.00190544  0.00183357
 -0.00978127]",0.2093541134111075
60,"April 7 – The UN votes by 93–24 to suspend Russia from the Human Rights Council, with 58 countries abstaining.",[0.01496322 0.00629035 0.00347293 ... 0.00635968 0.02639679 0.00227694],0.2114293320472217
130,"September 12 – September 2022 Armenia–Azerbaijan clashes: Azerbaijan attacks Armenian positions near the cities of Vardenis, Goris, Sotk and Jermuk, and occupies certain areas of its territory along the Armenia–Azerbaijan border. Over the next few days, more than 100 Armenian soldiers are killed in the clashes, while Azerbaijan acknowledges 71 fatalities among its forces.","[-0.0129338  -0.00869321 -0.00567842 ... -0.00643377  0.02019581
 -0.01545165]",0.2138131494062902
53,"March 27 – The M23 offensive begins in North Kivu, Democratic Republic of the Congo.","[-0.0194328   0.00400689  0.00980601 ...  0.01575875  0.00693846
  0.01184786]",0.214766340974188
6,"January 5 – A nationwide state of emergency is declared in Kazakhstan in response to the 2022 Kazakh unrest. The cabinet of prime minister Askar Mamin resigns, while president Kassym-Jomart Tokayev removes former president Nursultan Nazarbayev, widely regarded as being the real power in the country, from his position as Chairman of the Security Council of Kazakhstan.","[-0.00287498 -0.00617269 -0.00132272 ...  0.01344848  0.0197764
 -0.02369997]",0.2151855217662314
40,"March 4 – Insurgency in Khyber Pakhtunkhwa: An Afghan man on behalf of the Islamic State – Khorasan Province commits a suicide attack at a Shia mosque in Peshawar, Khyber Pakhtunkhwa, Pakistan, killing 63 people.","[-0.0160927  -0.00040921  0.01281742 ...  0.01359111  0.00967109
 -0.01309466]",0.2182632072484067
63,"April 8 – Global food prices increase to their highest level since the UN's Food Price Index began in 1990, with commodities such as wheat rising by nearly 20% as a result of the Ukraine crisis.","[-0.00355328 -0.01846666 -0.00169234 ...  0.00187066  0.01127581
  0.01255966]",0.2196477187779856
140,"September 26 – The Nord Stream pipeline sabotage occurs by an unknown perpetrator off the coast of Bornholm, Denmark with explosions on two pipelines leaving them inoperable.","[-0.01716224 -0.034566    0.02489128 ...  0.00920508  0.00407586
  0.00976194]",0.2230177219294865
78,"May 10–May 14 – The Eurovision Song Contest 2022 is held in Turin, Italy. The contest is won by Ukrainian folk-rap group Kalush Orchestra with their song ""Stefania"".","[-0.00876956 -0.03792658  0.0152938  ...  0.00172569 -0.00635424
 -0.03389785]",0.2232546310560349
131,September 14–September 20 – 2022 Kyrgyzstan–Tajikistan clashes: Dozens are killed as sporadic clashes occur between Kyrgyz and Tajik troops along their countries' respective border.,"[-0.02250005 -0.0150783   0.01760874 ... -0.01326525  0.02608702
 -0.00630328]",0.2242854703031074
124,September 1 – The UN releases a report stating that the Chinese government's Xinjiang internment camps and treatment of Uyghurs may constitute crimes against humanity.,"[ 0.00795634 -0.02103253  0.01205993 ...  0.01763645  0.01901289
 -0.00540607]",0.2262144235344507
137,September 24 – The 2022 Nauruan parliamentary election was held which saw Ubenide parliament member Russ Kun be elected president by parliament.,"[-0.01107205 -0.0167444   0.00252529 ... -0.0165183  -0.0111186
 -0.01770198]",0.2267603436385924
